ID_de_Membro,Data_da_Visita,Idade,Genêro,Tipo_Cartão_Membro,Tipo_Treino,Tempo_duração_Treino,Calorias_Queimadas,Horário_Entrada,Status_Presença
1,2024-10-11,64,Outro,Anual,HIIT,28,171,20:04,Falta
2,2024-06-01,65,Mulher,Trimestal,Treino_Força,72,650,19:17,Falta
3,2024-06-13,45,Homem,Trimestal,Cardio,70,633,7:24,Falta
4,2024-02-05,35,Mulher,Mensal,CrosFit,64,362,7:18,Falta
5,2024-07-13,26,Mulher,Trimestal,Yoga,31,262,11:22,Falta
6,2024-09-11,45,Outro,Trimestal,Cardio,63,518,20:08,Presente
7,2024-02-22,30,Outro,Trimestal,CrosFit,50,404,18:17,Falta
8,2024-05-04,38,Homem,Anual,Yoga,99,959,21:59,Falta
9,2024-02-10,61,Mulher,Mensal,CrosFit,36,289,9:39,Presente
10,2024-08-14,36,Outro,Trimestal,Treino_Força,94,643,11:29,Falta
11,2024-10-11,60,Mulher,Mensal,Treino_Força,110,738,22:43,Presente
12,2024-12-25,26,Mulher,Mensal,HIIT,86,547,8:17,Falta
13,2024-06-28,48,Mulher,Trimestal,HIIT,44,389,19:08,Falta
14,2024-12-01,54,Outro,Anual,Yoga,99,644,14:45,Falta
15,2024-07-08,40,Outro,Trimestal,CrosFit,99,643,20:18,Presente
16,2024-10-05,38,Outro,Mensal,HIIT,106,976,13:15,Falta
17,2024-12-01,28,Outro,Mensal,Yoga,34,244,9:13,Presente
18,2024-06-27,35,Outro,Anual,CrosFit,25,211,18:38,Presente
19,2024-10-31,32,Mulher,Anual,CrosFit,55,402,9:06,Presente
20,2024-07-31,32,Mulher,Mensal,CrosFit,48,330,10:35,Presente
21,2024-01-02,51,Outro,Mensal,Cardio,68,526,16:58,Falta
22,2024-07-28,53,Mulher,Anual,HIIT,41,248,14:24,Falta
23,2024-05-06,30,Homem,Trimestal,HIIT,98,577,20:49,Falta
24,2024-07-31,20,Homem,Mensal,CrosFit,104,589,21:37,Presente
25,2024-12-07,63,Homem,Anual,Yoga,54,288,12:09,Presente
26,2024-09-23,21,Mulher,Anual,Yoga,40,358,14:09,Falta
27,2024-06-12,52,Homem,Mensal,CrosFit,77,620,14:48,Falta
28,2024-05-02,49,Outro,Anual,HIIT,37,187,19:56,Falta
29,2024-02-07,39,Outro,Trimestal,Treino_Força,120,991,21:23,Presente
30,2024-12-02,57,Mulher,Anual,CrosFit,96,621,13:16,Falta
31,2024-03-10,18,Homem,Mensal,Cardio,52,455,9:43,Presente
32,2024-12-19,19,Homem,Mensal,CrosFit,59,374,19:23,Presente
33,2024-03-21,27,Mulher,Anual,Treino_Força,23,127,22:44,Presente
34,2024-03-17,51,Homem,Trimestal,CrosFit,36,208,20:18,Presente
35,2024-12-25,50,Mulher,Mensal,CrosFit,59,584,17:28,Presente
36,2024-03-14,48,Homem,Mensal,Cardio,20,159,7:50,Falta
37,2024-08-24,49,Mulher,Anual,Treino_Força,81,756,11:16,Falta
38,2024-03-26,47,Mulher,Anual,CrosFit,107,779,15:14,Presente
39,2024-05-21,61,Mulher,Mensal,Treino_Força,94,737,8:57,Presente
40,2024-05-25,26,Outro,Mensal,Yoga,100,562,5:16,Presente
41,2024-04-27,50,Outro,Trimestal,HIIT,51,428,15:05,Presente
42,2024-10-01,26,Homem,Anual,HIIT,94,859,7:04,Presente
43,2024-11-26,45,Mulher,Mensal,HIIT,61,412,8:43,Falta
44,2024-03-22,19,Homem,Mensal,Cardio,81,570,20:36,Falta
45,2024-08-14,39,Mulher,Mensal,Yoga,26,208,14:20,Falta
46,2024-07-01,33,Homem,Mensal,CrosFit,56,336,21:50,Falta
47,2024-12-07,40,Outro,Trimestal,Yoga,92,524,19:24,Falta
48,2024-10-18,32,Mulher,Mensal,Cardio,63,546,18:26,Falta
49,2024-07-02,42,Homem,Mensal,CrosFit,103,755,16:47,Presente
50,2024-12-04,42,Outro,Trimestal,Treino_Força,99,746,16:19,Falta
51,2024-08-11,27,Homem,Mensal,Yoga,60,337,9:43,Presente
52,2024-11-22,42,Homem,Anual,CrosFit,42,346,5:27,Presente
53,2024-01-01,47,Homem,Trimestal,CrosFit,55,286,13:54,Falta
54,2024-12-02,23,Mulher,Mensal,CrosFit,115,1086,21:11,Falta
55,2024-05-07,18,Homem,Anual,Cardio,53,483,15:03,Falta
56,2024-03-02,22,Outro,Trimestal,Cardio,44,423,18:47,Presente
57,2024-06-12,37,Homem,Mensal,Cardio,37,242,11:54,Presente
58,2024-11-12,39,Outro,Anual,Yoga,76,596,9:48,Falta
59,2024-06-14,59,Mulher,Mensal,HIIT,47,460,17:00,Falta
60,2024-03-08,65,Outro,Anual,HIIT,57,318,19:47,Presente
61,2024-01-19,54,Mulher,Anual,Yoga,120,751,20:44,Presente
62,2024-04-08,52,Outro,Mensal,Treino_Força,113,878,9:42,Presente
63,2024-10-10,43,Mulher,Trimestal,Treino_Força,22,142,22:58,Falta
64,2024-09-04,55,Homem,Trimestal,HIIT,33,248,5:51,Falta
65,2024-11-09,33,Outro,Trimestal,HIIT,37,251,10:56,Presente
66,2024-11-29,29,Homem,Trimestal,Cardio,83,683,22:12,Falta
67,2024-07-17,47,Mulher,Mensal,Cardio,25,172,5:44,Presente
68,2024-01-16,31,Outro,Trimestal,Yoga,42,243,10:34,Presente
69,2024-06-12,34,Homem,Trimestal,Cardio,54,515,20:05,Falta
70,2024-01-18,61,Homem,Mensal,CrosFit,32,304,7:12,Falta
71,2024-06-23,22,Mulher,Anual,Treino_Força,92,715,7:12,Falta
72,2024-12-26,30,Homem,Anual,Cardio,49,378,11:52,Falta
73,2024-08-29,30,Mulher,Mensal,HIIT,26,233,17:42,Presente
74,2024-04-01,34,Homem,Trimestal,HIIT,58,561,19:50,Presente
75,2024-02-11,33,Mulher,Mensal,CrosFit,53,340,5:22,Falta
76,2024-11-22,45,Homem,Trimestal,Treino_Força,54,522,5:01,Falta
77,2024-02-20,27,Outro,Mensal,HIIT,84,476,22:34,Presente
78,2024-10-17,27,Mulher,Anual,Cardio,80,549,21:01,Falta
79,2024-05-10,63,Outro,Trimestal,Treino_Força,45,265,21:09,Presente
80,2024-08-23,59,Outro,Anual,CrosFit,89,502,21:53,Presente
81,2024-12-17,60,Homem,Trimestal,Yoga,98,630,21:54,Presente
82,2024-06-03,23,Outro,Trimestal,Treino_Força,43,228,6:52,Falta
83,2024-10-17,44,Homem,Trimestal,CrosFit,20,148,8:30,Falta
84,2024-05-26,38,Outro,Trimestal,Treino_Força,108,605,22:52,Falta
85,2024-01-23,25,Mulher,Anual,Yoga,40,364,13:59,Presente
86,2024-02-10,33,Mulher,Trimestal,Cardio,104,997,7:43,Presente
87,2024-03-04,52,Mulher,Mensal,CrosFit,115,1098,16:18,Falta
88,2024-12-14,19,Homem,Anual,HIIT,104,713,6:35,Falta
89,2024-05-19,53,Homem,Trimestal,HIIT,37,194,15:22,Presente
90,2024-05-24,18,Homem,Trimestal,Cardio,41,342,10:41,Falta
91,2024-04-04,48,Homem,Trimestal,Yoga,71,672,13:50,Falta
92,2024-07-29,20,Outro,Mensal,CrosFit,26,148,9:25,Presente
93,2024-04-15,32,Mulher,Anual,Yoga,64,562,22:15,Presente
94,2024-08-09,47,Homem,Mensal,HIIT,114,937,22:33,Falta
95,2024-11-05,41,Homem,Trimestal,CrosFit,110,865,16:19,Falta
96,2024-02-10,58,Outro,Anual,Treino_Força,101,778,10:39,Falta
97,2024-08-30,59,Mulher,Mensal,Yoga,110,585,22:57,Presente
98,2024-11-17,58,Outro,Mensal,Treino_Força,98,721,12:34,Presente
99,2024-01-21,33,Mulher,Anual,Yoga,49,465,10:14,Falta
100,2024-10-22,42,Mulher,Trimestal,CrosFit,69,369,18:31,Presente
101,2024-03-12,51,Homem,Anual,HIIT,108,856,9:04,Falta
102,2024-02-27,36,Homem,Anual,CrosFit,48,459,7:03,Falta
103,2024-03-10,20,Mulher,Anual,Yoga,89,714,6:34,Presente
104,2024-09-04,64,Homem,Mensal,CrosFit,86,796,7:55,Presente
105,2024-06-13,22,Outro,Mensal,Treino_Força,64,590,19:39,Falta
106,2024-10-14,37,Mulher,Anual,Treino_Força,108,961,15:30,Presente
107,2024-03-04,30,Outro,Anual,HIIT,80,596,9:01,Falta
108,2024-10-05,64,Outro,Trimestal,Cardio,73,623,10:45,Presente
109,2024-10-30,31,Mulher,Anual,Cardio,28,236,10:08,Falta
110,2024-05-08,48,Outro,Trimestal,CrosFit,25,138,14:03,Presente
111,2024-07-13,18,Homem,Trimestal,HIIT,62,429,18:40,Falta
112,2024-10-24,30,Mulher,Mensal,HIIT,65,555,19:39,Presente
113,2024-10-23,37,Outro,Trimestal,HIIT,120,842,20:17,Presente
114,2024-12-31,42,Homem,Trimestal,Yoga,88,761,5:32,Falta
115,2024-06-09,27,Outro,Anual,HIIT,27,203,12:15,Presente
116,2024-06-30,47,Outro,Trimestal,CrosFit,42,393,20:17,Falta
117,2024-08-28,49,Outro,Trimestal,Cardio,31,193,9:26,Falta
118,2024-12-25,64,Outro,Trimestal,Yoga,89,668,16:33,Presente
119,2024-02-06,59,Mulher,Anual,HIIT,39,277,5:25,Falta
120,2024-05-05,47,Homem,Mensal,Treino_Força,69,591,9:23,Falta
121,2024-04-11,64,Homem,Anual,Yoga,32,262,8:10,Presente
122,2024-11-19,19,Mulher,Mensal,Cardio,120,1072,20:51,Falta
123,2024-06-19,32,Homem,Trimestal,CrosFit,50,498,5:42,Falta
124,2024-12-31,23,Homem,Anual,CrosFit,83,748,16:54,Presente
125,2024-12-28,30,Outro,Trimestal,HIIT,86,774,21:09,Presente
126,2024-10-17,54,Homem,Anual,Yoga,37,194,19:14,Falta
127,2024-01-05,62,Homem,Anual,Treino_Força,87,788,11:13,Falta
128,2024-09-14,18,Outro,Mensal,Yoga,28,266,14:38,Falta
129,2024-12-20,18,Homem,Anual,Treino_Força,53,415,15:30,Presente
130,2024-08-04,61,Outro,Trimestal,Cardio,103,756,5:33,Presente
131,2024-01-16,37,Mulher,Anual,CrosFit,104,873,17:13,Falta
132,2024-04-15,18,Homem,Trimestal,Cardio,88,828,6:25,Falta
133,2024-09-12,52,Homem,Trimestal,HIIT,84,534,17:02,Presente
134,2024-08-04,37,Outro,Anual,Cardio,65,327,5:11,Falta
135,2024-03-16,59,Outro,Mensal,Cardio,44,341,16:15,Falta
136,2024-02-27,65,Homem,Trimestal,Treino_Força,113,934,14:09,Falta
137,2024-03-18,50,Outro,Mensal,Cardio,117,878,6:06,Presente
138,2024-07-05,38,Outro,Trimestal,Treino_Força,98,578,7:43,Presente
139,2024-11-03,34,Homem,Anual,Cardio,42,214,20:37,Presente
140,2024-02-04,51,Mulher,Anual,Yoga,63,466,10:46,Presente
141,2024-12-13,56,Mulher,Anual,Cardio,67,440,13:38,Presente
142,2024-03-25,38,Mulher,Anual,HIIT,82,816,9:38,Falta
143,2024-04-20,20,Outro,Anual,Treino_Força,80,403,7:40,Falta
144,2024-01-28,32,Mulher,Mensal,Yoga,48,476,10:24,Falta
145,2024-07-11,52,Outro,Anual,Treino_Força,27,155,16:55,Falta
146,2024-01-11,20,Outro,Mensal,Cardio,56,405,8:19,Presente
147,2024-10-24,38,Mulher,Trimestal,Cardio,106,808,17:12,Presente
148,2024-08-17,48,Homem,Mensal,Yoga,109,793,6:26,Presente
149,2024-05-25,18,Homem,Mensal,Treino_Força,83,823,13:11,Falta
150,2024-09-11,64,Outro,Trimestal,CrosFit,91,537,6:24,Presente
151,2024-01-13,29,Outro,Anual,Yoga,31,268,15:57,Falta
152,2024-02-10,41,Outro,Trimestal,Treino_Força,83,819,5:38,Presente
153,2024-10-17,19,Outro,Trimestal,CrosFit,65,472,17:58,Falta
154,2024-01-08,27,Homem,Trimestal,CrosFit,66,469,10:50,Presente
155,2024-06-16,20,Homem,Anual,CrosFit,52,488,13:11,Falta
156,2024-06-12,37,Outro,Anual,CrosFit,54,487,10:20,Presente
157,2024-10-10,57,Outro,Mensal,Treino_Força,63,341,6:46,Falta
158,2024-05-24,65,Outro,Mensal,Treino_Força,74,667,20:48,Falta
159,2024-03-14,49,Mulher,Mensal,HIIT,59,367,20:38,Presente
160,2024-08-29,49,Outro,Mensal,HIIT,56,512,16:22,Falta
161,2024-10-04,26,Mulher,Anual,Treino_Força,100,984,13:25,Falta
162,2024-05-09,61,Homem,Mensal,CrosFit,80,553,17:39,Presente
163,2024-02-05,57,Homem,Anual,Yoga,111,1000,17:12,Falta
164,2024-04-01,23,Mulher,Trimestal,Cardio,113,645,15:36,Falta
165,2024-02-24,45,Outro,Trimestal,CrosFit,59,299,8:57,Falta
166,2024-02-27,25,Outro,Trimestal,Cardio,81,572,16:00,Presente
167,2024-03-17,50,Mulher,Mensal,Cardio,47,278,18:58,Presente
168,2024-12-29,47,Homem,Anual,HIIT,40,227,14:39,Presente
169,2024-03-19,33,Outro,Mensal,CrosFit,39,299,15:27,Presente
170,2024-11-01,19,Homem,Mensal,CrosFit,77,402,13:29,Falta
171,2024-03-15,49,Homem,Trimestal,HIIT,92,809,12:17,Falta
172,2024-12-06,45,Homem,Trimestal,Cardio,76,647,11:50,Falta
173,2024-06-01,38,Homem,Anual,CrosFit,28,200,7:15,Falta
174,2024-03-18,22,Outro,Mensal,HIIT,109,965,11:53,Presente
175,2024-12-12,38,Outro,Anual,Treino_Força,82,560,14:27,Presente
176,2024-07-03,61,Outro,Anual,HIIT,31,246,5:42,Falta
177,2024-12-06,25,Mulher,Trimestal,Treino_Força,107,821,16:27,Presente
178,2024-01-25,41,Outro,Anual,CrosFit,47,395,22:22,Falta
179,2024-09-03,61,Outro,Mensal,Cardio,57,408,21:12,Presente
180,2024-07-06,38,Outro,Trimestal,Treino_Força,48,348,18:39,Presente
181,2024-12-21,54,Outro,Trimestal,CrosFit,69,487,19:23,Presente
182,2024-03-17,58,Mulher,Anual,Cardio,97,862,9:21,Presente
183,2024-05-26,63,Homem,Mensal,Yoga,55,525,7:18,Falta
184,2024-02-06,45,Homem,Anual,Cardio,118,775,17:42,Falta
185,2024-10-30,30,Outro,Trimestal,Yoga,72,608,20:50,Presente
186,2024-06-05,34,Homem,Mensal,Yoga,94,690,6:17,Falta
187,2024-02-24,51,Outro,Trimestal,HIIT,108,611,17:40,Falta
188,2024-03-05,59,Mulher,Mensal,HIIT,71,641,13:46,Falta
189,2024-04-14,53,Mulher,Trimestal,Treino_Força,98,900,12:30,Falta
190,2024-12-04,60,Mulher,Mensal,Treino_Força,109,780,11:36,Falta
191,2024-03-18,40,Mulher,Trimestal,Cardio,20,113,11:29,Falta
192,2024-11-18,62,Mulher,Mensal,Yoga,31,247,13:27,Presente
193,2024-01-04,52,Homem,Anual,HIIT,73,456,18:31,Falta
194,2024-08-17,55,Outro,Trimestal,Cardio,105,931,12:24,Presente
195,2024-01-09,30,Homem,Anual,Cardio,25,212,14:50,Presente
196,2024-01-31,41,Outro,Anual,CrosFit,102,944,8:55,Falta
197,2024-04-16,39,Mulher,Trimestal,Yoga,78,666,12:57,Falta
198,2024-11-15,31,Homem,Trimestal,HIIT,33,206,10:45,Presente
199,2024-01-02,61,Outro,Mensal,HIIT,106,706,22:05,Presente
200,2024-09-10,48,Outro,Trimestal,HIIT,68,565,21:24,Falta
